Molècula,Tanimoto,És Actiu,Actiu més semblant
CCSc1nnc(N2[C@@H](c3ccc(N(C)C)cc3)C(C(=O)c3ccc4c(c3)C[C@@H](C)O4)=C([O-])C2=O)s1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870fff50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CCCCN1c2ccccc2[C@]2(C1=O)C(C(=O)c1cc3ccccc3o1)=C([O-])C(=O)N2CCN1CCOCC1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffed0>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CCOC(=O)c1c(C)nc(N2[C@@H](c3cccs3)C(C(=O)c3ccc(OC(C)C)cc3)=C([O-])C2=O)s1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffe50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CCOC(=O)c1c(C)nc(N2[C@H](c3cccs3)C(C(=O)c3ccc(OC(C)C)cc3)=C([O-])C2=O)s1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffdd0>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CCCn1c(N2CCC[C@@H](C)C2)c(/C=C2\C(=O)N(CCCCCC(=O)[O-])C(=S)S2)c(C)c(C#N)c1=O,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffd50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CCn1c(N2CCC[C@@H](C)C2)c(/C=C2\C(=O)N(CCCCCC(=O)[O-])C(=S)S2)c(C)c(C#N)c1=O,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffcd0>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
CS(=O)(=O)[N-]c1ccccc1C1=NN(S(=O)(=O)c2ccccc2)[C@@H](c2ccc3c(c2)nccn3)C1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffc50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
C[C@@H]1Cc2cc(C(C3=C([O-])C(=O)N(CCOC)[C@@H]3c3ccc(OCCC(C)C)c(OC)c3)=O)ccc2O1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffbd0>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
Cc1ccc([C@H]2C(C(=O)c3c(C)nc(-c4ccccc4)s3)=C([O-])C(=O)N2CCCN2CCOCC2)o1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffb50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
C[C@@H]1Cc2cc(C(C3=C([O-])C(=O)N(CCN4CCOCC4)[C@H]3c3ccc(OC)c(OC)c3)=O)ccc2O1,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffad0>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
c1ccc2c(c1)cc(C(C1=C([O-])C(=O)N(CCN3CCOCC3)[C@@H]1c1cccc(Br)c1)=O)o2,<rdkit.DataStructs.cDataStructs.IntSparseIntVect object at 0x7f0f870ffa50>,0,CCCCCCCCCCCCCCC/C([O-])=C1/C(=O)O[C@H](CO)C1=O
