Molècula,Tanimoto,És Actiu,Actiu més semblant
CS(=O)(=O)N[C@H](Cc1ccc([C@@H]2CC([O-])=NS2(=O)=O)cc1)c1[nH]c2ccccc2n1,1.0,1,CS(=O)(=O)N[C@@H](Cc1ccc([C@@H]2CC([O-])=NS2(=O)=O)cc1)c1[nH]c2ccccc2n1
CS(=O)(=O)N[C@@H](Cc1ccc([C@@H]2CC([O-])=NS2(=O)=O)cc1)c1[nH]c2ccccc2n1,1.0,1,CS(=O)(=O)N[C@H](Cc1ccc([C@@H]2CC([O-])=NS2(=O)=O)cc1)c1[nH]c2ccccc2n1
c1ccc(C2(c3ccccc3)SC[C@@H](CCC(=O)Nc3ccc4c(c3)C[C@H](C(=O)[O-])OC4)S2)cc1,1.0,1,c1ccc(C2(c3ccccc3)SC[C@H](CCC(=O)Nc3ccc4c(c3)C[C@H](C(=O)[O-])OC4)S2)cc1
c1ccc(C2(c3ccccc3)SC[C@H](CCC(=O)Nc3ccc4c(c3)C[C@H](C(=O)[O-])OC4)S2)cc1,1.0,1,c1ccc(C2(c3ccccc3)SC[C@@H](CCC(=O)Nc3ccc4c(c3)C[C@H](C(=O)[O-])OC4)S2)cc1
c1ccc(-c2ccc(C[C@](Cc3ccc(C(F)(F)P(=O)([O-])[O-])cc3)(c3ccccc3)n3c4ccccc4nn3)cc2)cc1,1.0,1,c1ccc(-c2ccc(C[C@@](Cc3ccc(C(F)(F)P(=O)([O-])[O-])cc3)(c3ccccc3)n3c4ccccc4nn3)cc2)cc1
c1ccc(-c2ccc(C[C@@](Cc3ccc(C(F)(F)P(=O)([O-])[O-])cc3)(c3ccccc3)n3c4ccccc4nn3)cc2)cc1,1.0,1,c1ccc(-c2ccc(C[C@](Cc3ccc(C(F)(F)P(=O)([O-])[O-])cc3)(c3ccccc3)n3c4ccccc4nn3)cc2)cc1
CCCCc1c(Cc2ccc3c(c2)ccc(O[C@H](Cc2ccccc2)C(=O)[O-])c3Br)c2ccccc2o1,1.0,1,CCCCc1c(Cc2ccc3c(c2)ccc(O[C@@H](Cc2ccccc2)C(=O)[O-])c3Br)c2ccccc2o1
CCCCc1c(Cc2ccc3c(c2)ccc(O[C@@H](Cc2ccccc2)C(=O)[O-])c3Br)c2ccccc2o1,1.0,1,CCCCc1c(Cc2ccc3c(c2)ccc(O[C@H](Cc2ccccc2)C(=O)[O-])c3Br)c2ccccc2o1
CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@H]1Cl
CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@H]1Cl,1.0,1,CS(=O)(=O)O[C@@H]1[C@@H](Cc2ccc(N3CC(=O)CS3(=O)=O)c(O)c2)CCC[C@@H]1Cl
