,Molècula,Tanimoto,És Actiu,Actiu més semblant
0,CC1=CC(=O)C=CC1=O,1.0,1,CC1=CC(=O)C=CC1=O
1,Clc1cc2c(c(N)ccn2)cc1,1.0,1,Clc1cc2c(c(N)ccn2)cc1
2,CC1=CC(=O)C=CC1=O,1.0,1,CC1=CC(=O)C=CC1=O
3,CC1=CC(=O)C=CC1=O,1.0,1,CC1=CC(=O)C=CC1=O
4,CC1=CC(=O)C=CC1=O,1.0,1,CC1=CC(=O)C=CC1=O
5,Clc1cc2c(c(N)ccn2)cc1,1.0,1,Clc1cc2c(c(N)ccn2)cc1
6,s1c2c(nc1C(SC)=S)cccc2,0.36363636363636365,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
7,ClC(Cl)(Cl)SNc1sc2c(n1)cccc2,0.3448275862068966,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
8,s1c2c(nc1SC/C(C)=C/C(OC)=O)cccc2,0.3380281690140845,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
9,[La+3].[O-]c1ccccc1.[O-]c1ccccc1.[O-]c1ccccc1,0.32,0,c1(P(c2ccccc2)c2ccccc2)ccccc1
10,Brc1c2oc3cc(=O)c(Br)cc-3c(-c3c(C(O)=O)cccc3)c2cc(Br)c1O,0.31896551724137934,0,OC(=O)c1c(-c2c3c(oc4c(Br)c(=O)ccc2-4)c(Br)c(O)cc3)cccc1
11,[Zr+4].P([O-])([O-])(=O)c1ccccc1.P([O-])([O-])(=O)c1ccccc1,0.3,0,c1(P(c2ccccc2)c2ccccc2)ccccc1
12,O1C(CC2NCCCC2)OCC1,0.2857142857142857,0,CCCCCCC1CCCCN1
13,O1C(C[C@@H]2NCCCC2)OCC1,0.2857142857142857,0,CCCCCCC1CCCCN1
14,O=C1C(N2CCCCC2)=CC(=O)C=C1,0.2682926829268293,0,CC1=CC(=O)C=CC1=O
15,[O-]C(c1ccccc1)C,0.26666666666666666,0,c1(P(c2ccccc2)c2ccccc2)ccccc1
16,Brc1c(N(N)C)cnn(-c2ccccc2)c1=O,0.26153846153846155,0,O=C1N(c2ccccc2)N=C(C)C1
17,O=C1C(c2ccc(N(C)C)cc2)=C(N)c2c1cccc2,0.25757575757575757,0,O=C1c2c(cccc2)C(=O)C(Cl)=C1N(C)C
18,O=C1N(c2ccccc2)N=C(C)C1CCCCCCCCCCCCCCCCCC,0.2564102564102564,0,O=C1N(c2ccccc2)N=C(C)C1
19,Clc1cc(C(C)(C)C)c(O)c(C(=O)C)c1O,0.2558139534883721,0,CC(C)(C)c1c(O)cc(C(C)(C)C)c(O)c1
20,Clc1cc2[nH]c(=O)[nH]c2cc1[N+]([O-])=O,0.25,0,[O-][N+](=O)c1cc([N+](=O)[O-])cc(Cl)c1O
21,O=c1n(-c2ccccc2)ccc(=O)n1C,0.25,0,O=C1N(c2ccccc2)N=C(C)C1
22,O=c1n(-c2ccccc2)c(C)cc(=O)n1C,0.25,0,O=C1N(c2ccccc2)N=C(C)C1
