,Molècula,Tanimoto,És Actiu,Actiu més semblant
0,CC1=CC(=O)C=CC1=O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd3d505ccd0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
1,S(Cc1cc([N+]([O-])=O)ccc1O)CCO,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547f50>,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
2,Clc1cc2c(c(N)ccn2)cc1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547ed0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
3,CC1=CC(=O)C=CC1=O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547e50>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
4,CC1=CC(=O)C=CC1=O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547dd0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
5,CC1=CC(=O)C=CC1=O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547d50>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
6,CCCCCCC1CCCCN1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547cd0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
7,Clc1cc2c(c(N)ccn2)cc1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547c50>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
8,O=C1N(c2ccccc2)N=C(C)C1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547bd0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
9,CC(C)(C)c1c(O)cc(C(C)(C)C)c(O)c1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547b50>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
10,c1(P(c2ccccc2)c2ccccc2)ccccc1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547ad0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
11,C(/C(C)=N/O)(=N\O)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547a50>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
12,[O-][N+](=O)c1c2c(ccc1C)C(=O)c1ccccc1C2=O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b5479d0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
13,O=C1c2c(cccc2)C(=O)C(Cl)=C1N(C)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547950>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
14,OC(=O)c1c(-c2c3c(oc4c(Br)c(=O)ccc2-4)c(Br)c(O)cc3)cccc1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b5478d0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
15,O=C1c2c(ccc(N)c2)C(=O)c2c1cccc2,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547850>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
16,[O-][N+](=O)c1sc(=N)[nH]c1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b5477d0>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
17,[O-][N+](=O)c1cc([N+](=O)[O-])cc(Cl)c1O,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547750>,1,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
18,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b5476d0>,1,[O-][N+](=O)c1cc([N+](=O)[O-])cc(Cl)c1O
19,S(Cc1cc(N)ccc1O)CCO,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b547650>,0,CC1=CC(=O)C=CC1=O
20,[Si]([C@@H]([C@H]1[C@H](C(OC)=O)N(c2ccc(OC)cc2)C1=O)C)(c1ccccc1)(C)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b531f50>,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
21,[Si]([C@@H]([C@@H]1[C@@H](C(OC)=O)N(c2ccc(OC)cc2)C1=O)C)(c1ccccc1)(C)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b531ed0>,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
22,[Si]([C@@H]([C@H]1[C@@H](C(OC)=O)N(c2ccc(OC)cc2)C1=O)C)(c1ccccc1)(C)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b531e50>,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
23,[Si]([C@@H]([C@@H]1[C@H](C(OC)=O)N(c2ccc(OC)cc2)C1=O)c1ccccc1)(C)(C)C,<rdkit.DataStructs.cDataStructs.LongSparseIntVect object at 0x7fd38b531dd0>,0,c1cc2sc(SSc3nc4ccccc4s3)nc2cc1
